ID,RA,DEC,r_h
HP 1,17 31 05.2,-29 58 54,3.10
NGC 6362,17 31 54.99,-67 02 54.0,2.05
Liller 1,17 33 24.50,-33 23 20.4,
NGC 6380,17 34 28.0,-39 04 09,0.74
Terzan 1,17 35 47.8,-30 28 11,3.82
Ton 2,17 36 10.5,-38 33 12,1.30
NGC 6388,17 36 17.23,-44 44 07.8,0.52
NGC 6402,17 37 36.10,-03 14 45.3,1.30
NGC 6401,17 38 36.60,-23 54 34.2,1.91
NGC 6397,17 40 42.09,-53 40 27.6,2.90
Pal 6,17 43 42.2,-26 13 21,1.20
NGC 6426,17 44 54.65,+03 10 12.5,0.92
Djorg 1,17 47 28.3,-33 03 56,1.59
Terzan 5,17 48 04.80,-24 46 45,0.72
NGC 6440,17 48 52.70,-20 21 36.9,0.48
NGC 6441,17 50 13.06,-37 03 05.2,0.57
Terzan 6,17 50 46.38,-31 16 31.4,0.44
NGC 6453,17 50 51.70,-34 35 57.0,0.44
UKS 1,17 54 27.2,-24 08 43,
NGC 6496,17 59 03.68,-44 15 57.4,1.02
Terzan 9,18 01 38.8,-26 50 23,0.78
Djorg 2,18 01 49.1,-27 49 33,1.05
NGC 6517,18 01 50.52,-08 57 31.6,0.50
Terzan 10,18 03 36.4,-26 04 21,1.55
NGC 6522,18 03 34.02,-30 02 02.3,1.00
NGC 6535,18 03 50.51,-00 17 51.5,0.85
NGC 6528,18 04 49.64,-30 03 22.6,0.38
NGC 6539,18 04 49.68,-07 35 09.1,1.70
NGC 6540,18 06 08.6,-27 45 55,
NGC 6544,18 07 20.58,-24 59 50.4,1.21
NGC 6541,18 08 02.36,-43 42 53.6,1.06
2MS-GC01,18 08 21.81,-19 49 47,1.65
ESO-SC06,18 09 06.0,-46 25 23,1.05
NGC 6553,18 09 17.60,-25 54 31.3,1.03
2MS-GC02,18 09 36.50,-20 46 44,0.55
NGC 6558,18 10 17.60,-31 45 50.0,2.15
IC 1276,18 10 44.20,-07 12 27.4,2.38
Terzan 12,18 12 15.8,-22 44 31,0.75
NGC 6569,18 13 38.80,-31 49 36.8,0.80
BH 261,18 14 06.6,-28 38 06,0.55
GLIMPSE02,18 18 30.5,-16 58 38,
NGC 6584,18 18 37.60,-52 12 56.8,0.73
NGC 6624,18 23 40.51,-30 21 39.7,0.82
NGC 6626,18 24 32.81,-24 52 11.2,1.97
NGC 6638,18 30 56.10,-25 29 50.9,0.51
NGC 6637,18 31 23.10,-32 20 53.1,0.84
NGC 6642,18 31 54.10,-23 28 30.7,0.73
NGC 6652,18 35 45.63,-32 59 26.6,0.48
NGC 6656,18 36 23.94,-23 54 17.1,3.36
Pal 8,18 41 29.9,-19 49 33,0.58
NGC 6681,18 43 12.76,-32 17 31.6,0.71
GLIMPSE01,18 48 49.7,-01 29 50,0.65
NGC 6712,18 53 04.30,-08 42 22.0,1.33
NGC 6715,18 55 03.33,-30 28 47.5,0.82
NGC 6717,18 55 06.04,-22 42 05.3,0.68
NGC 6723,18 59 33.15,-36 37 56.1,1.53
NGC 6749,19 05 15.3,+01 54 03,1.10
NGC 6752,19 10 52.11,-59 59 04.4,1.91
NGC 6760,19 11 12.01,+01 01 49.7,1.27
NGC 6779,19 16 35.57,+30 11 00.5,1.10
Terzan 7,19 17 43.92,-34 39 27.8,0.77
Pal 10,19 18 02.1,+18 34 18,0.99
Arp 2,19 28 44.11,-30 21 20.3,1.77
NGC 6809,19 39 59.71,-30 57 53.1,2.83
Terzan 8,19 41 44.41,-33 59 58.1,0.95
Pal 11,19 45 14.4,-08 00 26,1.46
NGC 6838,19 53 46.49,+18 46 45.1,1.67
NGC 6864,20 06 04.69,-21 55 16.2,0.46
NGC 6934,20 34 11.37,+07 24 16.1,0.69
NGC 6981,20 53 27.70,-12 32 14.3,0.93
NGC 7006,21 01 29.38,+16 11 14.4,0.44
NGC 7078,21 29 58.33,+12 10 01.2,1.00
NGC 7089,21 33 27.02,-00 49 23.7,1.06
NGC 7099,21 40 22.12,-23 10 47.5,1.03
Pal 12,21 46 38.84,-21 15 09.4,1.72
Pal 13,23 06 44.44,+12 46 19.2,0.36
NGC 7492,23 08 26.63,-15 36 41.4,1.15
